population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct65up,pctUrban,medIncome,pctWInvInc,pctWSocSec,PctPopUnderPov,PctNotHSGrad,PctUnemployed,PctOccupManu,PctOccupMgmtProf,MalePctNevMarr,TotalPctDiv,PctFam2Par,PctKids2Par,PctWorkMomYoungKids,PctKidsBornNeverMar,PctImmigRec5,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,MedYrHousBuilt,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentMedian,RentQrange,MedRentPctHousInc,MedOwnCostPctIncNoMtg,PopDens,PctUsePubTrans
11980,3.1,1.37,91.78,6.5,1.88,12.47,11.33,100,75122,70.2,23.62,1.96,9.9,2.7,5.49,50.73,26.38,4.47,91.43,90.17,44.56,0.36,13,85.68,1.37,4.81,91.46,0.39,11.06,3,1959,0.28,262600,111000,1001,316,23.8,14,1845.9,9.63
23123,2.82,0.8,95.57,3.44,0.85,11.01,17.18,100,47917,64.11,35.5,3.98,13.72,2.43,6.39,37.64,27.99,5.42,86.91,85.33,51.14,0.24,8.65,87.79,1.81,4.25,89.03,1.01,23.6,3,1958,0.14,164200,63600,560,205,27.6,12.5,2186.7,3.84
29344,2.43,0.74,94.33,3.43,2.35,11.36,10.28,100,35669,55.73,22.25,4.75,9.09,4.01,8.79,32.48,25.78,12.55,78.54,78.85,66.08,0.88,23.98,93.11,1.14,2.97,64.18,2.03,47.46,3,1976,0.12,90400,37300,428,150,24.1,11.6,2780.9,4.37
16656,2.4,1.7,97.35,0.5,0.7,12.55,17.57,0,20580,38.95,39.48,17.23,33.68,9.86,26.76,22.71,28.15,12.91,64.02,62.36,59.59,3.84,13.86,94.98,0.56,3.93,58.18,1.21,45.66,3,1939,0.87,49600,30100,250,114,28.7,14.5,3217.7,3.31
11245,2.76,0.53,89.16,1.17,0.52,24.46,12.65,0,17390,42.82,32.16,29.99,23.06,9.08,10.94,27.8,50.66,9.73,58.59,55.2,61.22,4.7,56.12,94.64,0.39,5.23,58.13,2.94,55.64,2,1958,0.82,43200,28900,283,160,32.2,12.9,974.2,0.38
140494,2.45,2.51,95.65,0.9,0.95,18.09,13.26,100,21577,41.15,29.31,17.78,23.03,5.72,14.72,23.42,33.32,13.04,71.94,69.79,62.96,1.58,30.56,96.87,0.6,3.08,57.81,2.11,53.19,2,1966,0.31,53900,35400,280,134,26.4,11.7,1995.7,0.97
28700,2.6,1.6,96.57,1.47,1.1,11.17,14.42,100,42805,47.7,30.23,4.01,13.89,4.85,8.5,32.78,36.05,7.64,79.53,79.76,65.16,1.18,16.27,89.98,0.6,5.08,64.62,1.47,47.35,3,1956,0.28,179000,60400,669,361,24.4,12.5,2643.5,9.62
59459,2.45,14.2,84.87,0.4,0.63,15.31,14.6,100,23221,35.74,32.58,17.98,28.67,8.19,21.92,18.02,28.34,14.94,62.56,58.7,63.08,4.66,22.82,97.43,0.28,3.85,65.29,1.9,56.3,2,1954,0.49,37000,26100,253,139,26.3,12.2,1515.3,0.7
74111,2.46,0.35,97.11,1.25,0.73,16.64,8.58,100,25326,47.11,19.3,13.68,11.27,4.18,11.37,29.43,40.87,8.64,79.35,79.7,74.32,1.64,33.58,95.21,0.43,2.59,57.42,1.67,59.32,2,1971,0.19,70300,39200,321,146,25.2,12.8,2399.3,1.41
103590,2.62,23.14,67.6,0.92,16.35,19.88,13.12,100,17852,30.98,29.09,28.68,31.62,8.39,16.43,24.3,38.49,12.97,61.65,54.56,60.8,4.71,23.08,85.72,2.51,6.7,46.82,6.14,59.96,2,1960,0.33,43100,38800,281,177,29.6,13,1319.3,0.76
31601,2.54,12.63,83.22,0.77,4.39,15.73,14.26,100,24763,37.36,32.68,15.61,24.86,7.19,15.74,27.28,27.6,13.53,68.41,64.64,67.43,2.47,35.39,94.85,0.81,3.66,59.76,3.41,52.11,2,1965,0.3,49800,41400,305,142,23.8,12.9,816.1,0
25158,2.89,21.34,49.42,17.21,26.78,13.65,9.44,100,25479,24.98,22.99,19.02,34.18,10.16,17.38,14.03,35.23,16.57,58.06,56.36,58.63,7.44,32.75,60.3,10.8,12.43,48.07,18.18,72.06,2,1963,0.64,117900,49900,503,190,33,11.8,9387.3,11.22
40641,2.54,12.18,86.39,1.12,0.68,21.51,11.5,0,20043,34.02,27.11,23.91,28.52,6.93,15.13,27.47,39.19,11.95,64.6,60.7,58.45,3.56,49.52,96.72,0.59,2.99,53.11,2.49,53.27,2,1966,0.23,58200,44300,267,136,27.9,12.3,1354.2,0.28
57140,2.74,53.52,45.65,0.49,0.43,16.51,13.38,100,19143,24.41,33.46,27.71,34.5,11.05,18.07,22.71,30.7,12.74,58.65,50.22,64.38,8.51,32.43,96.83,0.54,7.86,61.62,5.43,46.91,3,1964,0.73,41200,31800,219,135,29.1,15.7,1301.5,0.93
13132,2.53,0.06,99.21,0.47,0.59,14,14.57,0,25797,56.06,34.35,6.84,25.41,3.67,22.67,21.74,27.56,7.32,79.99,81.44,81.24,0.87,17.65,91.11,0.42,3.61,80.28,0.94,38.26,3,1956,0.65,53200,29200,232,132,24.9,11.5,1481.2,0.08
30954,2.69,2.52,94.39,2.03,1.55,12.07,10.45,100,37856,51.08,23.45,6.22,14.64,4.17,11.78,27,28.8,9.75,76.68,76.9,73.51,2.71,10.96,95.05,0.69,3.71,80.79,1.43,42.87,3,1969,0.35,87800,33600,473,193,26.9,12,1724.8,3.35
45532,2.85,2.65,95.72,1.04,2.28,11.86,9.76,96.51,44635,50.24,24.74,2.89,21.62,4.01,13.94,24.73,32.45,8.38,81.96,79.92,63.59,1.3,11.7,90.41,0.92,4.08,79.94,1.23,32.43,3,1960,0.13,143400,36700,563,282,24.8,13.1,1314.3,1.28
180038,2.62,1.3,74.02,14.14,20.96,12.04,11.54,100,34372,40.04,20.3,14.37,22.83,6.95,9.07,33.09,34.45,11.12,77.1,74.78,52.45,2.62,41.41,46.84,15.46,6.98,39.38,18.31,75.17,2,1962,0.46,343600,220000,626,252,30.5,11.6,5677.3,4.15
14869,2.67,2.28,94.74,2.67,0.74,13.71,12.38,100,49851,69.45,23.77,2.35,5.95,2.57,2.33,53.3,22.37,8.64,82.5,82.05,64.94,0.74,16.19,94.75,0.53,2.47,85.62,0.43,18.79,3,1963,0.21,117500,58900,394,199,24.6,11.4,2552.7,1.96
