Murders,Robberies,Assaults,Burglaries,Larcenies,Auto_Thefts,Non.Violent,Total_Violent
0,8.2,32.81,114.85,1132.08,131.26,1378.19,41.01
0,21.26,102.05,242.37,1598.78,110.55,1951.7,123.31
8.3,154.95,38.74,758.14,4972.19,376.3,6106.63,201.99
0,57.86,190.93,1301.78,4142.56,271.93,5716.27,248.79
0,32.04,112.14,728.93,8490.87,728.93,9948.73,144.18
4.63,90.05,297.29,1386.46,5091.64,300.6,6778.7,391.97
0,30.44,182.66,372.09,974.19,487.1,1833.38,213.1
13.13,160.8,210.02,997.6,3691.79,205.1,4894.49,383.95
0,20.05,51.39,532.66,3946.71,258.18,4737.55,71.44
26.88,419.89,966.77,2221.81,5673.63,991.8,8887.24,1413.54
3.11,220.96,407.69,1456.49,5654.8,469.94,7581.23,631.76
44.42,1143.81,1340,1769.39,5404.4,1591.71,8765.5,2528.23
6.54,126.52,586.8,1269.58,3895.99,322.85,5488.42,719.86
27.26,444.61,904.55,2987.92,3424.02,880.7,7292.64,1376.42
0,0,65.82,489.98,2069.62,153.58,2713.18,65.82
0,79.7,109.22,667.12,4776.1,469.34,5912.56,188.92
2.19,50.46,37.29,618.62,1987.5,508.94,3115.06,89.94
5.02,197.91,154.42,889.74,2509.23,806.68,4205.65,357.35
0,66.18,33.09,655.15,2739.73,119.12,3514,99.27
2.39,242.88,477.55,1360.48,3938.78,838.8,6138.06,722.82
0,21.41,90.6,446.39,2418.09,164.72,3029.2,112.01
26.59,1174.95,857.68,1355.37,3212.39,1536.49,6104.25,2059.22
12.89,270.79,303.03,1457.12,3526.76,322.37,5306.25,586.71
0,0,137.13,516.25,4694.68,217.79,5428.72,137.13
0,105.48,399.71,1254.65,4002.66,349.75,5607.06,505.19
0,32.42,142.64,755.34,3938.79,155.61,4849.74,175.06
6.69,160.6,167.29,997.06,2388.92,301.12,3687.1,334.58
8.59,260.94,579.87,1469.01,4634.68,954.64,7058.33,849.4
14.57,21.86,961.75,1581.06,7103.83,400.73,9085.62,998.18
25.12,434.25,179.44,707.01,2860.32,854.15,4421.48,638.81
0,78.28,1391.67,1852.66,2583.28,278.33,4714.27,1469.95
13.75,106.72,564.37,1126.13,4089.41,680.91,5896.45,684.84
0,14.98,19.97,639.11,1567.81,84.88,2291.8,34.95
0,0,16.72,284.28,568.56,66.89,919.73,16.72
4.92,29.54,546.45,1048.59,4342.05,374.14,5764.78,580.91
0,50.6,267.46,1163.8,3628.74,368.66,5161.2,318.06
36.77,447.33,1268.46,3848.28,6893.8,625.04,11367.12,1752.56
4.04,117.11,472.5,1126.73,2237.3,1033.84,4397.87,593.65
35.96,148.31,298.88,3921.35,5912.36,417.98,10251.69,483.15
3.54,85.06,113.41,542.25,2076.84,191.38,2810.47,202.01
8.85,43.14,412.63,931.46,3687.11,192.49,4811.06,464.62
0,78.84,630.69,738.19,3547.62,318.93,4604.74,709.53
27.27,607.12,2038.09,2109.86,2818.88,1254.43,6183.17,2672.48
16.22,288.42,547.99,1164.49,3558.36,457.86,5180.71,852.63
12.52,137.7,488.2,1026.48,6133.82,337.99,7498.29,638.42
2.92,40.9,74.5,606.2,1773.32,143.15,2522.67,118.32
0,91.5,682.11,1713.6,3635.15,578.13,5926.88,773.61
7.38,22.15,383.99,2230.1,2392.56,413.53,5036.19,413.52
1.55,180.07,377.21,970.18,3469.37,409.8,4849.35,558.83
0,12.1,96.82,726.17,2232.98,242.06,3201.21,108.92
4.65,9.29,37.16,622.47,2331.96,162.59,3117.02,51.1
3,843.97,216.25,1417.63,5271.06,663.76,7352.45,1063.22
0,97.77,125.71,432.99,1298.97,216.5,1948.46,223.48
2.88,106.44,57.53,1688.58,4409.86,296.29,6394.73,166.85
13.89,492.02,368.86,1698.29,4707.51,1394.26,7800.06,874.77
28.7,753.74,445.86,988.14,2561.1,1554.73,5103.97,1228.3
1.17,31.46,210.9,558.12,1709.31,288.96,2556.39,243.53
0,74.45,37.23,908.95,2940.9,241.97,4091.82,111.68
4.47,159.32,522.63,833.83,3448.48,273.97,4556.28,686.42
8.76,61.34,52.58,740.51,1906.06,52.58,2699.15,122.68
26.85,449.74,1322.37,1906.36,4098,459.81,6464.17,1798.96
4.32,118.34,415.48,1033.430203,4475.25,657.34,6166.020203,538.14
7.89,98.58,118.29,488.94,2062.22,445.57,2996.73,224.76
0,7.42,29.66,370.81,2862.65,111.24,3344.7,37.08
0,52.76,34.3,527.63,2717.32,184.67,3429.62,87.06
0,17.77,302.1,688.61,3709.63,106.62,4504.86,319.87
